类别,名称,规格/参数要求,用途,必需/可选,备注
1. 袜版资源,袜型 SVG 模板,矢量；按 welt/cuff/body/toe 分组；尺寸 ≥ 2000×2000；提供 ≥6 种 SKU（长筒/中筒/短袜/船袜/隐形袜/儿童袜）,袜版编辑器底图渲染,必需,SVG 内每个区域要有独立 id（如 id="welt"），便于程序染色
1. 袜版资源,袜型可印区域蒙版,每袜型一张 PNG；与底图同尺寸；4 区域用不同灰度（welt=64/cuff=128/body=192/toe=255）,印花裁切+区域识别,必需,需提供 mask 与底图像素对齐
1. 袜版资源,袜型线稿,透明底 PNG；2000×2000+；线宽 2px,叠加在花型之上突出袜型轮廓,必需,
1. 袜版资源,袜型物理参数表,Excel 表格：袜型 ID / 可印面积（px²）/ 实际物理尺寸（mm）/ 推荐 DPI / 工艺方式 / 起订量,下单/工艺校验/配货,必需,
1. 袜版资源,袜型 3D 渲染图（可选）,2K×2K，用于首页/详情页展示,营销/视觉,可选,可后期追加
2. 花型/印花素材,公共花型库,≥150 张；高清 PNG/JPG；分辨率 ≥2048×2048；可商用,素材库默认花型,必需,需附版权清单（出处/授权范围/可商用证明）
2. 花型/印花素材,花型分类标签,30+ 标签：碎花/条纹/圆点/方格/大花/民族/卡通/几何 等,素材搜索/筛选,必需,
2. 花型/印花素材,花型缩略图,256×256 webp，<30KB,列表/网格预览,必需,可由花型原图自动生成
2. 花型/印花素材,花型适配性标注,每张标注：是否可平铺/是否有方向/最小循环单元（mm）,工艺校验,必需,
3. 色卡,通用色卡,Excel 表格：颜色名（中文）/ HEX / RGB / 分类（中性/暖/冷/流行）,袜身底色/螺口/袜跟/袜头 选色,必需,需 ≥80 色
3. 色卡,工艺可还原色卡,实际针织/UV 印花/染色 能稳定还原的色域；含 ΔE 色差范围,生产工艺校验/打样,必需,跟工厂确认
3. 色卡,主题场景色卡,场景包：敦煌/二十四节气/复古/少女/职场/运动 等；每包 5-8 色,推荐模式 / 主题随心订,必需,本项目采用「推荐式」配色而非纯色卡平铺，需 ≥10 个场景包
3. 色卡,Pantone 对照表（可选）,Pantone 色号 ↔ 工艺色 映射,出口/品牌联名,可选,
4. AI 大模型接口,文生图 API,推荐：阿里通义万相 / 即梦 / Stable Diffusion XL / Flux；endpoint + Key + QPS 限制,提示词生成印花,必需,需支持中文提示词
4. AI 大模型接口,图生图 API,同上模型，支持上传参考图 + 风格强度参数,款式衍生 / 风格迁移,必需,
4. 大模型接口,局部重绘（inpaint）,支持上传图片 + 蒙版区域 + 提示词,蒙版填充/局部修改,必需,
4. AI 大模型接口,风格迁移 API,预设 6-12 种艺术风格（敦煌/水墨/赛博/油画/像素/像花...）,AI 延展 / 衍生款,必需,
4. AI 大模型接口,提示词增强,LLM 接口（如 GPT-4o / Qwen / DeepSeek）；将简短描述展开为可生图的完整提示,提升小白用户出图质量,推荐,
4. AI 大模型接口,内容审核,鉴黄/涉政/侵权 三类审核；返回风险等级,生成结果合规,必需,需上线前接入
4. AI 大模型接口,亲子袜衍生（图像放缩+重绘）,基于成人款生成儿童款（缩放 + 比例适配）,亲子袜功能,必需,
5. AI 调色能力,主色提取,从图像抽取 5-8 主色；返回 HEX,自动配色 / 推荐色卡,必需,可用本地 colorthief 或 API
5. AI 调色能力,色卡映射,把图像主色映射到工艺色卡里最接近的颜色,工艺可还原校验,必需,
